articleId,articleName,articleCode,cube,weightLbs,roomId,roomName,isActive,domestic,canada,international,local,carton,pbo,mattcp,bulky,crateFlag
1105,"Mower, Hand",V249,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1106,"Mower, Power",V250,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1107,Music Cabinet,V251,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1108,O/S Furniture,V252,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1109,Office Machine - LG,V253,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1110,Office Machine - SM,V254,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1111,Ottoman,V255,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1112,Outdoor Child Gym,V256,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1113,Outdoor Child Slide,V257,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1114,Outdoor Furniture,V258,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1115,Outdoor Swing,V259,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1116,Panel Cart,V260,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1117,PC,V261,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1118,Pet Carrier,V262,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1127,Picnic Bench,V271,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1128,Picnic Table,V272,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1138,Ping Pong Table,V282,40.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1139,Plant Stand,V283,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1140,"Plant, Artificial",V284,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1144,"Plastic Cont., Large",V289,2.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1146,Playpen,V291,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1147,Pool Table Comp.,V292,40.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1148,Pool Table Slate,V293,100.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1149,"Power Tool, Hand",V294,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1150,"Power Tool, Stand",V295,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1151,"Ramp, Large",V296,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1152,"Ramp, Small",V297,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1153,"Range, 20"" Wide",V298,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1154,"Range, 30"" Wide",V299,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1155,"Range, 36"" Wide",V300,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1156,Record Storage,V301,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1157,Refrig 11 cf. or >,V302,60.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1158,"Refrig., 6 cf. or <",V303,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1159,"Refrig., 7 to 10 cf.",V304,45.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1160,Reg. Desks,V305,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1164,"Rug, Lg. Roll / Pad",V309,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1165,"Rug, Sm. Roll/ Pad",V310,3.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1166,Safe Jack,V311,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1167,Safes,V312,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1169,"Satellite, Small",V315,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
1171,Serving Cart,V317,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
